,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter
0,Manuel Neuer,Manuel Peter Neuer,37,1.93,Germany,Gelsenkirchen,7,45,Goalkeeper,1,right,Bayern Munich,30/06/2024,01/07/2011,PRO Profil GmbH,adidas
1,Yann Sommer,,34,1.83,Switzerland,Morges,5,13,Goalkeeper,27,right,Bayern Munich,30/06/2025,19/01/2023,Relatives,Puma
2,Sven Ulreich,,34,1.92,Germany,Schorndorf,0.9,6,Goalkeeper,26,right,Bayern Munich,30/06/2024,01/07/2021,BMS Sportconsulting ...,adidas
3,Johannes Schenk,,20,1.91,Germany,Schweinfurt,0.3,0.3,Goalkeeper,35,right,Bayern Munich,30/06/2024,01/07/2022,11WINS,
4,Matthijs de Ligt,,23,1.89,Netherlands,Leiderdorp,75,75,Defender - Centre-Back,4,right,Bayern Munich,30/06/2027,19/07/2022,Rafaela Pimenta,adidas
5,Dayot Upamecano,Dayotchanculle Oswald Upamecano,24,1.86,France,Évreux,60,60,Defender - Centre-Back,2,right,Bayern Munich,30/06/2026,05/07/2021,Unique Sports Group,Nike
6,Lucas Hernández,Lucas François Bernard Hernández Pi,27,1.84,France,Marseille,50,70,Defender - Centre-Back,21,left,Bayern Munich,30/06/2024,01/07/2019,Manuel García ...,Nike
7,Alphonso Davies,Alphonso Boyle Davies,22,1.85,Canada,Buduburam,70,80,Defender - Left-Back,19,left,Bayern Munich,30/06/2025,01/01/2019,ATG Sports,
8,Daley Blind,,33,1.8,Netherlands,Amsterdam,6,25,Defender - Left-Back,23,left,Bayern Munich,30/06/2023,05/01/2023,SEG,adidas
9,João Cancelo,João Pedro Cavaco Cancelo,28,1.82,Portugal,Barreiro,60,70,Defender - Right-Back,22,right,Bayern Munich,30/06/2023,31/01/2023,Gestifute,Nike
10,Benjamin Pavard,,27,1.86,France,Maubeuge,35,45,Defender - Right-Back,5,right,Bayern Munich,30/06/2024,01/07/2019,Carmenta,adidas
11,Noussair Mazraoui,نصير مزراوي,25,1.83,Morocco ,Leiderdorp,28,28,Defender - Right-Back,40,right,Bayern Munich,30/06/2026,01/07/2022,Rafaela Pimenta,adidas
12,Josip Stanisic,Josip Stanišić,23,1.87,Croatia,München,12,12,Defender - Right-Back,44,both,Bayern Munich,30/06/2026,01/08/2021,BALLWERK Sports GmbH,adidas
13,Bouna Sarr,,31,1.77,Senegal,Lyon,2.5,9,Defender - Right-Back,20,right,Bayern Munich,30/06/2024,05/10/2020,Wasserman,
14,Joshua Kimmich,Joshua Walter Kimmich,28,1.77,Germany,Rottweil,80,90,midfield - Defensive Midfield,6,right,Bayern Munich,30/06/2025,02/07/2015,,
15,Leon Goretzka,Leon Christoph Goretzka,28,1.89,Germany,Bochum,65,70,midfield - Central Midfield,8,right,Bayern Munich,30/06/2026,01/07/2018,Neubauer 13 GmbH,
16,Ryan Gravenberch,Ryan Jiro Gravenberch,20,1.9,Netherlands,Amsterdam,30,35,midfield - Central Midfield,38,right,Bayern Munich,30/06/2027,01/07/2022,Team Raiola,adidas
17,Jamal Musiala,,20,1.84,Germany,Stuttgart,110,110,midfield - Attacking Midfield,42,right,Bayern Munich,30/06/2026,01/07/2020,11WINS,
18,Paul Wanner,,17,1.85,Germany,Dornbirn,3,3,midfield - Attacking Midfield,14,left,Bayern Munich,30/06/2027,31/01/2022,Agent is known - Player under 18,adidas
19,Arijon Ibrahimovic,Arijon Ibrahimović / Arijon Ibrahimi,17,1.76,Germany,Nürnberg,1,1,midfield - Attacking Midfield,46,right,Bayern Munich,30/06/2025,17/01/2023,Agent is known - Player under 18,
20,Kingsley Coman,Kingsley Junior Coman,26,1.81,France,Paris,65,65,Attack - Left Winger,11,right,Bayern Munich,30/06/2027,01/07/2017,CAA Base Ltd,Nike
21,Sadio Mané,,31,1.74,Senegal,Bambaly,45,150,Attack - Left Winger,17,right,Bayern Munich,30/06/2025,01/07/2022,ROOF,New Balance
22,Leroy Sané,Leroy Aziz Sané,27,1.83,Germany,Essen,70,100,Attack - Right Winger,10,left,Bayern Munich,30/06/2025,15/07/2020,LIAN Sports Group,Nike
23,Serge Gnabry,Serge David Gnabry,27,1.76,Germany,Stuttgart,55,90,Attack - Right Winger,7,right,Bayern Munich,30/06/2026,01/07/2017,ROOF,adidas
24,Thomas Müller,,33,1.85,Germany,Weilheim in Oberbayern,18,75,Attack - Second Striker,25,right,Bayern Munich,30/06/2024,01/07/2009,Kögl & Partner GmbH,adidas
25,Mathys Tel,,18,1.83,France,Sarcelles,20,20,Attack - Centre-Forward,39,right,Bayern Munich,30/06/2025,26/07/2022,,
